Rajzszám;Típus;Megnevezés;Program;Súly/Darab_(kg);Db/Paletta;Db/Doboz;Doboz/Paletta;Zsilip;Hossz (mm);Szél (mm);Mag (mm);Doboz méretei;F9;LF doboz_típusa;darab/_LF doboz;doboz súlya;teli doboz súlya;preferált AKL
CF553CRPAA03;;Kisalátét;VS&HV;0,007;;2000;;;260;220;120;;32;LF221;1000;;;AKL1
CF554CRPAA03;;Nagyalátét;VS&HV;0,007;;2000;;;260;220;120;;32;LF221;1000;;;AKL1
CG521CRPAA02;;Szimering;VS&HV;0,006;;1444;;;415;295;145;;40;LF322;840;;;AKL1
CT500CRPAA03;;Szimering zéger;VS&HV;0,00099;;6000;;;250;180;145;;80;LF322;6250;;;AKL1
CT510CRPAA02;;Csuklócsap-zéger;VS&HV;0,0002;;25000;;;330;230;110;;1;LF221;5000;;;AKL1
CT530CRPAA03;;Ékszíjtárcsa zéger;VS&HV;0,003382;;2250;;;220;220;160;;80;LF321;1250;;;AKL1
E9SH-19E744-BA;;Hasított persely;VS&HV;0,0034;;2500;;;290;235;150;;48;LF221;500;;;AKL1
VOCV6H-19E819-AB;;Piston;;0,04395;;;;;;;;;;;;;;AKL1
VP3M5H-19D773-AA;;Nyomószelep határoló;VS;0,0425;;240;;;260;170;150;;36;LF321;360;;;AKL1
VP3M5H-19D774-CB;;Valve plate;VS;0,159;;;;;;;;;;;;;;AKL1
VP3M5H-19D970-FA;;Cylinder tömítés;VS;0,0091;;1000;;;325;290;120;;40;LF221;400;;;AKL1
VP3M5H-19E796-BA;;Fronthead csapágy;VS;0,014982;;1000;;;335;225;170;;60;LF221;200;;;AKL1
VP3M5H-19E820-GB;;MCV szelep;VS;0,042;;150;;;460;325;130;;40;nincs;150;;;AKL1
VP3M5H-19E820-JA;;MCV szelep;VS;0,042;;150;;;460;325;130;;40;nincs;150;;;AKL1
VP3M5H-19E820-KA;;MCV szelep;VS;0,0408;;150;;;460;325;130;;40;nincs;150;;;AKL1
VP4M5H-19E819-AA;;Piston;;0,047;;;;;;;;;;;;;;AKL1
VP4M5H-67738-FA;;Hosszúcsavar;VS;0,025;;300;;;295;190;95;;64;LF321;300;;;AKL1
VP6G9H-19C658-AA;;Régi tőcsavar;VS;0,0125;;950;;;230;190;150;;16;LF221;;;;AKL1
VP6G9H-19C889-AC;;Shipping Cap (fehér);VS;0,0141;;900;;;695;395;240;;12;LF322;200;;;AKL1
VP6G9H-19C889-BC;;Shipping Cap (kék);VS;0,011;;900;;;695;395;240;;12;LF322;200;;;AKL1
VP6G9H-19E889-AA;;"Piros ""O"" gyűrű";VS;0,0007;;5100;;;295;295;240;;1;LF322;900;;;AKL1
VP6G9H-19E889-CA;;Kábeltartó lemez;VS;0,0007;;1200;;;235;240;190;;45;LF221;300;;;AKL1
VP9EDH-14A169-BA;;Kábeltartó lemez;VS;0,007;;1600;;;235;240;190;;45;LF221;400;;;AKL1
VP9EDH-14A169-ED;;Kábeltartó lemez;VS;0,009;;1200;;;235;240;190;;45;LF221;300;;;AKL1
VP9EDH-14A169-JA;;Kábeltartó lemez;VS;0,0095;;1200;;;235;240;190;;45;LF221;300;;;AKL1
VP9M5H-19735-AA;;MCV zégergyűrű;VS;0,002;;6400;;;345;225;120;;1;nincs;6400;;;AKL1
