Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS
CF551CRPAG03;Csapágy alátét;0,033;360;260;230;115;32;;360;LF322;360;AKL1;;12,88;32;11520;;;;B1;VS&HV;;;
CF551CRPAH03;Csapágy alátét;0,033;360;260;230;115;32;;360;LF322;360;AKL1;;12,88;32;11520;;;;B1;VS&HV;;;
CF551CRPAI03;Csapágy alátét;0,033;360;260;230;115;32;;360;LF322;360;AKL1;;12,88;32;11520;;;;B1;VS&HV;;;
CF551CRPAJ03;Csapágy alátét;0,042;360;260;230;115;32;;360;LF322;360;AKL1;;16,12;32;11520;;;;B1;VS&HV;;;
CF553CRPAA03;Kisalátét;0,007;2000;260;220;120;32;;2000;LF221;1000;AKL1;;15;32;64000;;;;MOSÓ;VS&HV;;;
CF554CRPAA03;Nagyalátét;0,007;2000;260;220;120;32;;2000;LF221;1000;AKL1;;15;32;64000;;;;MOSÓ;VS&HV;;;
CG521CRPAA02;Szimering;0,006;1444;415;295;145;40;;1444;LF322;840;AKL1;;9,664;40;57760;;;;B1;VS&HV;;;
CT500CRPAA03;Szimering zéger;0,00099;6000;250;180;145;80;;6000;LF322;6250;AKL1;;6,94;80;480000;;;;B1;VS&HV;;;
CT510CRPAA02;Csuklócsap-zéger;0,0002;25000;330;230;110;1;;25000;LF221;5000;AKL1;;6;1;25000;;;;A1;VS&HV;;;
CT530CRPAA03;Ékszíjtárcsa zéger;0,003382;2250;220;220;160;80;;2250;LF321;1250;AKL1;;8,6095;80;180000;;;;D/E;VS&HV;;;
E9SH-19E744-BA;Hasított persely;0,0034;2500;290;235;150;48;;2500;LF221;500;AKL1;;9,5;48;120000;;;;D/E;VS&HV;;;
VP3M5H-19D773-AA;Nyomószelep határoló;0,0425;240;260;170;150;36;;240;LF321;360;AKL1;;11,2;36;8640;;;;VS;VS;;;
VP3M5H-19D970-FA;Cylinder tömítés;0,0091;1000;325;290;120;40;;1000;LF221;400;AKL1;;10,1;40;40000;;;;VS;VS;;;
VP3M5H-19E796-BA;Fronthead csapágy;0,014982;1000;335;225;170;60;;1000;LF221;200;AKL1;;15,982;60;60000;;;;B1;VS&HV;;;
VP3M5H-19E820-GB;MCV szelep;0,042;150;460;325;130;40;;150;nincs;150;AKL1;;7,3;40;6000;;;;VS;VS;;;
VP3M5H-19E820-JA;MCV szelep;0,042;150;460;325;130;40;;150;nincs;150;AKL1;;7,3;40;6000;;;;VS;VS;;;
VP3M5H-19E820-KA;MCV szelep;0,0408;150;460;325;130;40;;150;nincs;150;AKL1;;7,12;40;6000;;;;VS;VS;;;
VP4M5H-67738-FA;Hosszúcsavar;0,025;300;295;190;95;64;;300;LF321;300;AKL1;;8,5;64;19200;;;;VS;VS;;;
VP6G9H-19C658-AA;Régi tőcsavar;0,0125;950;230;190;150;16;;950;LF221;950;AKL1;;12,875;16;15200;;;;VS;VS;;;
VP6G9H-19C889-AC;Shipping Cap (fehér);0,0141;900;695;395;240;12;;900;LF322;200;AKL1;;13,69;12;10800;;;;VS;VS;;;
VP6G9H-19C889-BC;Shipping Cap (kék);0,011;900;695;395;240;12;;900;LF322;200;AKL1;;10,9;12;10800;;;;VS;VS;;;
VP6G9H-19E889-AA;"Piros ""O"" gyűrű";0,0007;5100;295;295;240;1;;5100;LF322;900;AKL1;;4,57;1;5100;;;;VS;VS;;;
VP6G9H-19E889-CA;Kábeltartó lemez;0,0007;1200;235;240;190;45;;1200;LF221;300;AKL1;;1,84;45;54000;;;;VS;VS;;;
VP9EDH-14A169-BA;Kábeltartó lemez;0,007;1600;235;240;190;45;;1600;LF221;400;AKL1;;12,2;45;72000;;;;VS;VS;;;
VP9EDH-14A169-ED;Kábeltartó lemez;0,009;1200;235;240;190;45;;1200;LF221;300;AKL1;;11,8;45;54000;;;;VS;VS;;;
VP9EDH-14A169-JA;Kábeltartó lemez;0,0095;1200;235;240;190;45;;1200;LF221;300;AKL1;;12,4;45;54000;;;;VS;VS;;;
VP9M5H-19735-AA;MCV zégergyűrű;0,002;6400;345;225;120;1;;6400;nincs;6400;AKL1;;13,8;1;6400;;;;VS;VS;;;
VPCE8H-19C889-LA;Porvédő kupak (szürke);0,011;900;695;395;240;12;;900;LF322;200;AKL1;;10,9;12;10800;;;;D/E;VS&HV;;;
VPCE8H-19C889-MA;Porvédő kupak (sárga);0,011;900;695;395;240;12;;900;LF322;200;AKL1;;10,9;12;10800;;;;D/E;VS&HV;;;
VPCEDH-19D970-FA;Fronthead tömítés;;1000;325;290;120;40;;1000;LF221;400;AKL1;;1;40;40000;;;;VS;VS;;;
VPCEDH-19D769-CA;Futógyűrű;0,018;300;305;230;175;32;;300;LF221;150;AKL1;;6,4;32;9600;;;;VS;VS;;;
VPCEDH-19D970-EA;Rear head tömítés;0,0264;1000;325;290;120;40;;1000;LF221;400;AKL1;;27,4;40;40000;;;;VS;VS;;;
VPCV6H-17325-AA;ECV zégergyűrű;0,002;4900;240;185;135;14;;4900;nincs;2500;AKL1;;10,8;14;68600;;;;VS;VS;;;
VPCV6H-19E820-AC;ECV szelep;0,155;48;385;210;100;72;;48;LF532;96;AKL1;;8,44;72;3456;;;;VS;VS;;;
VPCV6H-3N603-AB;SDD szelep;0,009;576;425;260;170;40;;576;nincs;576;AKL1;;6,184;40;23040;;;;VS;VS;;;
VPCV6H-50684-AA;Szegecs;0,0024;5000;230;200;165;60;;5000;LF221;1000;AKL1;;13;60;300000;;;;VS;VS;;;
