;;;;Betárolás ládatípus;Betárolás darab;;;;Palettán láévő dobozok száma;Kitárolás láda típus;Kitárolás darb
Rajzszám;Megnevezés;Program;súly/darab_(kg);;darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;LF doboz_típusa;darab/_LF doboz
VP3M5H-19E796-BA;Fronthead csapágy;VS;0,014982;;1000;335;225;170;60;LF221;200
VP3M5H-19E820-GB;MCV szelep;VS;0,042;;150;460;325;130;40;nincs;150
VP3M5H-19E820-JA;MCV szelep;VS;0,042;;150;460;325;130;40;nincs;150
VP3M5H-19E820-KA;MCV szelep;VS;0,0408;;150;460;325;130;40;nincs;150
VP4M5H-19E819-AA;Piston;;0,047;;;;;;;;
VP4M5H-67738-FA;Hosszúcsavar;VS;0,025;;300;295;190;95;64;LF321;300
VP6G9H-19C658-AA;Régi tőcsavar;VS;0,0125;;950;230;190;150;16;LF221;
VP6G9H-19C889-AC;Shipping Cap (fehér);VS;0,0141;;900;695;395;240;12;LF322;200
VP6G9H-19C889-BC;Shipping Cap (kék);VS;0,011;;900;695;395;240;12;LF322;200
VP6G9H-19E889-AA;"Piros ""O"" gyűrű";VS;0,0007;;5100;295;295;240;1;LF322;900
VP6G9H-19E889-CA;Kábeltartó lemez;VS;0,0007;;1200;235;240;190;45;LF221;300
VP9EDH-14A169-BA;Kábeltartó lemez;VS;0,007;;1600;235;240;190;45;LF221;400
VP9EDH-14A169-ED;Kábeltartó lemez;VS;0,009;;1200;235;240;190;45;LF221;300
VP9EDH-14A169-JA;Kábeltartó lemez;VS;0,0095;;1200;235;240;190;45;LF221;300
VP9M5H-19735-AA;MCV zégergyűrű;VS;0,002;;6400;345;225;120;1;nincs;6400
VPCE8H-19C889-LA;Porvédő kupak (szürke);VS&HV;0,011;;900;695;395;240;12;LF322;200
VPCE8H-19C889-MA;Porvédő kupak (sárga);VS&HV;0,011;;900;695;395;240;12;LF322;200
VPCEDH-19D970-FA;Fronthead tömítés;VS;;;1000;325;290;120;40;LF221;400
VPCEDH-19D769-CA;Futógyűrű;VS;0,018;;300;305;230;175;32;LF221;150
VPCEDH-19D970-EA;Rear head tömítés;VS;0,0264;;1000;325;290;120;40;LF221;400
VPCV6H-17325-AA;ECV zégergyűrű;VS;0,002;;4900;240;185;135;14;nincs;2500
VPCV6H-19E820-AC;ECV szelep;VS;0,155;;48;385;210;100;72;LF532;96
VPCV6H-3N603-AB;SDD szelep;VS;0,009;;576;425;260;170;40;nincs;576
VPCV6H-50684-AA;Szegecs;VS;0,0024;;5000;230;200;165;60;LF221;1000
VPCV6H-67738-AA;Olajbetöltő csavar;VS;0,005;;3000;250;195;165;42;LF221;500
VPDEDH-19D644-BA;PRV szelep;VS;0,014982;;900;525;210;100;40;RK621;750
VPEV6H-19D764-BA;Bronztárcsa;VS;0,295;;;;;;;;
VPFV6H-3N603-AA;SDD szelep;VS;0,0084;;324;420;200;170;40;nincs;162
W500800-S437;Kábeltartó csavar;VS;0,0034;;4000;255;210;145;30;LF221;500
W520413-S440;Porvédő anya;VS&HV;0,006992;;1800;270;240;120;48;LF221;1000
W701890-S439;Új tőcsavar;VS&HV;0,014074;;1000;245;235;145;27;LF221;500
W704579-S403;Kuplung rézszínű zéger;VS;0,082;;1200;340;230;115;1;LF322;1200
W706617-S430;Cylinder zéger;VS;0,0013;;1000;255;180;140;1;LF322;500
W711877-S437;Kuplung csavar;VS&HV;0,006583;;2000;245;235;145;27;LF221;1000
CA546CRPAA02;PRV szelep;HV;0,005902;;900;525;210;100;60;RK621;750
CA570CRPAA03;Olajbetöltő csavar;HV;0,0114;;1000;235;200;160;60;LF321;1000
CE440MGGAA01;ECV-kábel;HV;0,02;;400;585;395;215;16;LF322;200
CE505CRPAA02;ECV szelep 2.0;HV;0,1;;60;385;210;100;72;LF532;120
CF506CRPAA02;Bronztárcsa;;0,22;;60;380;340;150;30;nincs;60
CF506CRPBC02;Bronztárcsa;;0,305;;60;380;340;150;30;nincs;60
CF511CRPBB04;Piston;;0,047;;;;;;;;
CF514CRPAA04;Szívószelep;HV14;0,015;;500;215;215;140;48;LF321;500
CF514CRPBA02;Szívószelep;HV17;0,019068;;500;260;170;160;48;LF321;500
CF516CRPAD02;Szeleptartó;HV14;0,16;;5600;1000;930;0;;LF321;120
CF516CRPBD02;Szeleptartó;HV17;0,202;;4032;1080;740;550;;LF321;120
CF517CRPAA03;Nyomószelep;HV14;0,01;;1000;220;220;130;48;LF221;500
CF517CRPBA03;Nyomószelep;HV17;0,014074;;500;270;180;150;32;LF221;400
CF530CRPAA02;Csuklócsap;HV;0,0138;;1000;330;230;100;40;LF321;1000
CF552CRPAA03;Futógyűrű;HV;18;;300;305;230;175;32;LF322;300
CF562CRPAA02;Papucs 1;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAB02;Papucs 2;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAC02;Papucs 3;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAD02;Papucs 4;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAE02;Papucs 5;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAF02;Papucs 6;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAG02;Papucs 7;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAH02;Papucs 8;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAI02;Papucs 9;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAJ02;Papucs 10;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAK02;Papucs 11;HV;0,005;;1000;250;160;80;100;LF221;1000
CF562CRPAL02;Papucs 12;HV;0,005;;1000;250;160;80;100;LF221;1000
CF574CRPAA02;Kisrugó;HV;0,005;;2190;400;300;280;24;LF511;900
CF575CRPAA02;Nagyrugó;HV;0,005;;1000;390;300;280;24;EF4120;500
CF577CRPAA02;SDD szelep;HV;0,005;;780;425;260;175;40;LF511;325
CF578CRPAA02;DSO szelep;HV;0,005;;1080;425;260;175;40;LF511;450
CG5B8CRPBA01;Cylinder tömítés;HV17;0,010651;;1000;360;300;12;40;LF321;800
CG5C8CRPAA02;Rear head tömítés;HV14;0,0373;;300;300;290;120;40;LF321;300
CG5C8CRPBA02;Rear head tömítés;HV17;0,044948;;500;360;300;12;40;LF321;300
CG5E8CRPAA02;Fronthead tömítés;HV14;0,038;;1000;300;300;130;40;LF321;800
CG5E8CRPBA02;Fronthead tömítés;HV17;0,004056;;1000;350;300;130;40;LF321;800
CT100CRPAA02;Hosszúcsavar;HV;0,0254;;450;345;245;110;40;LF322;450
CT540CRPAA02;Tekercs zéger;HV;0,0077;;600;330;230;110;48;LF321;600
E505MGGAA01;ECV szelep Fox&Dragon;HV;0,105;;48;385;210;100;72;LF532;96
