Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS;Alkatrész csomagolása a dobozban
VP4M5H-67738-FA;Hosszúcsavar;0,025;450;295;190;95;64;EG 64/17 AUER;900;LF321;300;AKL1;;23,5;64;57600;;;;VS;VS;;;;Ömlesztett
VP6G9H-19C658-AA;Régi tőcsavar;0,0125;950;230;190;150;16;EG 64/17 AUER;950;LF221;;AKL1;;12,875;16;15200;;;;VS;VS;;;;Ömlesztett
VP6G9H-19C889-AC;Porvédő kupak (fehér);0,0141;1000;695;395;240;12;EG 64/27 AUER;1000;Fröcsis láda;900;AKL1;;15,1;12;12000;;;;VS;VS;;;;Ömlesztett
VP6G9H-19C889-BC;Porvédő kupak (kék);0,011;1000;695;395;240;12;EG 64/27 AUER;1000;Fröcsis láda;900;AKL1;;12;12;12000;;;;VS;VS;;;;Ömlesztett
VP6G9H-19E889-AA;"Piros ""O"" gyűrű";0,0007;5100;295;295;240;1;;5100;LF322;900;AKL1;;4,57;1;5100;;;;VS;VS;;;;
VP6G9H-19E889-CA;"Sárga ""O"" gyűrű";0,0007;600;235;240;190;45;EG 64/17 AUER;6000;LF221;300;AKL1;;5,2;45;270000;;;;VS;VS;;;;PE tasak/300
VP9EDH-14A169-BA;Kábeltartó lemez;0,007;1600;235;240;190;45;;1600;LF221;400;AKL1;;12,2;45;72000;;;;VS;VS;;;;
VP9EDH-14A169-ED;Kábeltartó lemez;0,009;1200;235;240;190;45;;1200;LF221;300;AKL1;;11,8;45;54000;;;;VS;VS;;;;
VP9EDH-14A169-JA;Kábeltartó lemez;0,0095;1200;235;240;190;45;;1200;LF221;300;AKL1;;12,4;45;54000;;;;VS;VS;;;;
VP9M5H-19735-AA;MCV zégergyűrű;0,002;6400;345;225;120;1;EG 64/17 AUER;6400;nincs;6400;AKL1;;13,8;1;6400;;;;VS;VS;;;;PE tasak/200/rúd
